section_name,score,clean_english,spanish,greek,clean_spanish,clean_greek
Chairman’s Statement,258.3235409011416,chairman statement,Declaración del presidente,Δήλωση Προέδρου,declaración presidente,δήλωση προέδρου
Chairman’s statement,248.38691905759592,chairman statement,declaración del presidente,Δήλωση του προέδρου,declaración presidente,δήλωση προέδρου
Highlights,204.8765366957901,highlights,Reflejos,Καλύτερες στιγμές,reflejos,καλύτερες στιγμές
Chief Executive’s Review,117.71206133554467,chief executive review,Revisión del director ejecutivo,Επιθεώρηση Διευθύνοντος Συμβούλου,revisión director ejecutivo,επιθεώρηση διευθύνοντος συμβούλου
Chief Executive’s review,104.32181892450328,chief executive review,Revisión del director ejecutivo,Αναθεώρηση του Διευθύνοντος Συμβούλου,revisión director ejecutivo,αναθεώρηση διευθύνοντος συμβούλου
start,93.9458197743788,start,comienzo,αρχή,comienzo,αρχή
Financial Highlights,59.09129171046692,financial highlights,Aspectos financieros más destacados,Οικονομικά Στιγμιότυπα,aspectos financieros destacados,οικονομικά στιγμιότυπα
Financial highlights,44.45097748380377,financial highlights,Aspectos financieros más destacados,Οικονομικά σημεία,aspectos financieros destacados,οικονομικά σημεία
Chief Executive’s Statement,38.9476814890204,chief executive statement,Declaración del Director Ejecutivo,Δήλωση του Διευθύνοντος Συμβούλου,declaración director ejecutivo,δήλωση διευθύνοντος συμβούλου
Chief Executive’s Report,32.26688617683165,chief executive report,Informe del director ejecutivo,Έκθεση Διευθύνοντος Συμβούλου,informe director ejecutivo,έκθεση διευθύνοντος συμβούλου
Chief Executive’s statement,31.808760766320358,chief executive statement,Declaración del presidente ejecutivo,Η δήλωση του Διευθύνοντος Συμβούλου,declaración presidente ejecutivo,δήλωση διευθύνοντος συμβούλου
At a glance,29.99457272345307,glance,de un vistazo,Με μια ματιά,vistazo,μια ματιά
Chief Executive Officer’s review,22.475189703355284,chief executive officer review,Revisión del director ejecutivo,Αναθεώρηση του Διευθύνοντος Συμβούλου,revisión director ejecutivo,αναθεώρηση διευθύνοντος συμβούλου
Group at a glance,20.91304146122764,group glance,Grupo de un vistazo,Ομάδα με μια ματιά,grupo vistazo,ομάδα μια ματιά
Chief executive’s review,19.607252912628237,chief executive review,Revisión del director ejecutivo,κριτική του Διευθύνοντος Συμβούλου,revisión director ejecutivo,κριτική διευθύνοντος συμβούλου
CHAIRMAN’S STATEMENT,18.05381695706053,chairman statement,DECLARACIÓN DEL PRESIDENTE,ΔΗΛΩΣΗ ΠΡΟΕΔΡΟΥ,declaración presidente,δηλωση προεδρου
Chief Executive Officer’s Review,16.648376162467038,chief executive officer review,Revisión del director ejecutivo,Επιθεώρηση Διευθύνοντος Συμβούλου,revisión director ejecutivo,επιθεώρηση διευθύνοντος συμβούλου
Our strategy,16.62203005676601,strategy,nuestra estrategia,Η στρατηγική μας,estrategia,στρατηγική μας
At a Glance,15.234880334683265,glance,de un vistazo,Με μια ματιά,vistazo,μια ματιά
Group at a Glance,14.992335283785062,group glance,Grupo de un vistazo,Ομάδα με μια ματιά,grupo vistazo,ομάδα μια ματιά
Chief Executive Officer’s Statement,11.697359669602273,chief executive officer statement,Declaración del director ejecutivo,Δήλωση του Διευθύνοντος Συμβούλου,declaración director ejecutivo,δήλωση διευθύνοντος συμβούλου
Notice of Annual General Meeting,11.418823752850953,notice annual general meeting,Aviso de reunión general anual,Ανακοίνωση Ετήσιας Γενικής Συνέλευσης,aviso reunión general anual,ανακοίνωση ετήσιας γενικής συνέλευσης
Highlights of the year,10.01508415486472,highlights year,Puntos destacados del año,Τα κυριότερα σημεία της χρονιάς,puntos destacados año,κυριότερα σημεία της χρονιάς
chairman’s statement,10.002907628553828,chairman statement,declaración del presidente,δήλωση του προέδρου,declaración presidente,δήλωση προέδρου
Chief Executive Officer’s statement,9.996917444437706,chief executive officer statement,Declaración del director ejecutivo,Δήλωση του Διευθύνοντος Συμβούλου,declaración director ejecutivo,δήλωση διευθύνοντος συμβούλου
Chief Executive’s report,9.877962250380977,chief executive report,informe del presidente ejecutivo,Έκθεση του Διευθύνοντος Συμβούλου,informe presidente ejecutivo,έκθεση διευθύνοντος συμβούλου
CHIEF EXECUTIVE’S REVIEW,8.781821263095615,chief executive review,REVISIÓN DEL JEFE EJECUTIVO,ΑΞΙΟΛΟΓΗΣΗ CHIEF EXECUTIVE’S,revisión jefe ejecutivo,αξιολογηση chief executive s
Chairman’s introduction,8.774965893093995,chairman introduction,Introducción del presidente,Εισαγωγή του Προέδρου,introducción presidente,εισαγωγή προέδρου
Chairman’s letter,8.443037101030937,chairman letter,carta del presidente,Επιστολή του Προέδρου,carta presidente,επιστολή προέδρου
Chairman’ s statement,8.323987017773232,chairman statement,Declaración del presidente,δήλωση του προέδρου,declaración presidente,δήλωση προέδρου
Strategy,8.157162084277239,strategy,Estrategia,Στρατηγική,estrategia,στρατηγική
HIGHLIGHTS,7.818993448503443,highlights,DESTACAR,ΚΑΛΥΤΕΡΕΣ ΣΤΙΓΜΕΣ,destacar,καλυτερες στιγμες
Chairman’s review,7.798186752934066,chairman review,revisión del presidente,Αξιολόγηση προέδρου,revisión presidente,αξιολόγηση προέδρου
Shareholder Information,7.651821591165535,shareholder information,Información del accionista,Πληροφορίες Μετόχων,información accionista,πληροφορίες μετόχων
Group Chief Executive’s review,7.530078443864964,group chief executive review,Revisión del director ejecutivo del grupo,Αξιολόγηση του Διευθύνοντος Συμβούλου του Ομίλου,revisión director ejecutivo grupo,αξιολόγηση διευθύνοντος συμβούλου ομίλου
Our Strategy,7.366729938162239,strategy,Nuestra estrategia,Η Στρατηγική μας,estrategia,στρατηγική μας
Our business at a glance,7.170717867408143,business glance,Nuestro negocio de un vistazo,Η επιχείρησή μας με μια ματιά,negocio vistazo,επιχείρησή μας μια ματιά
Performance highlights,6.959163330532891,performance highlights,Aspectos destacados del rendimiento,Σημαντικά σημεία απόδοσης,aspectos destacados rendimiento,σημαντικά σημεία απόδοσης
Shareholder information,6.642050902705887,shareholder information,Información del accionista,Πληροφορίες για τους μετόχους,información accionista,πληροφορίες τους μετόχους
highlights,6.221415079590821,highlights,Destacar,καλύτερες στιγμές,destacar,καλύτερες στιγμές
Business review,6.129282925307448,business review,Revision del negocio,Επιχειρηματική κριτική,revision negocio,επιχειρηματική κριτική
chief executive’s review,5.647271215451453,chief executive review,revisión del director ejecutivo,κριτική του διευθύνοντος συμβούλου,revisión director ejecutivo,κριτική διευθύνοντος συμβούλου
Group Chief Executive’s Review,5.402062724981409,group chief executive review,Revisión del director ejecutivo del grupo,Ανασκόπηση του Διευθύνοντος Συμβούλου του Ομίλου,revisión director ejecutivo grupo,ανασκόπηση διευθύνοντος συμβούλου ομίλου
Operational Highlights,4.944203668904294,operational highlights,Aspectos destacados operativos,Λειτουργικά Χαρακτηριστικά,aspectos destacados operativos,λειτουργικά χαρακτηριστικά
Chairman’s Letter,4.917451478815092,chairman letter,Carta del presidente,Επιστολή Προέδρου,carta presidente,επιστολή προέδρου
Key performance indicators,4.906808958847741,key performance indicators,Indicadores clave de rendimiento,Βασικοί Δείκτες Απόδοσης,indicadores clave rendimiento,βασικοί δείκτες απόδοσης
Chief executive’s statement,4.750434304162364,chief executive statement,Declaración del presidente ejecutivo,Δήλωση του Διευθύνοντος Συμβούλου,declaración presidente ejecutivo,δήλωση διευθύνοντος συμβούλου
Key Highlights,4.424331953295128,key highlights,Puntos clave,Βασικά σημεία,puntos clave,βασικά σημεία
Financial and Operational Highlights,4.422359563331121,financial operational highlights,Aspectos destacados financieros y operativos,Οικονομικά και λειτουργικά στιγμιότυπα,aspectos destacados financieros operativos,οικονομικά λειτουργικά στιγμιότυπα
FINANCIAL HIGHLIGHTS,4.359456948760687,financial highlights,ASPECTOS FINANCIEROS MÁS DESTACADOS,ΟΙΚΟΝΟΜΙΚΑ ΣΤΟΙΧΕΙΑ,aspectos financieros destacados,οικονομικα στοιχεια
